text,summary
"user:  i need a place to stay with free wifi . </s><s> agent:  ok , i have several hotel -s . any particular location ? </s><s> user:  location does n't really matter as long as there 's free parking available . </s><s> agent:  i have several available . what is your price range ? </s><s> user:  between $ 100 -$ 300 per night . </s><s> agent:  how about the gonville hotel located in the centre area of town ? </s><s> user:  what is their postcode ? </s><s> agent:  their postcode is cb11iy , address gonville place , phone 0122336661 they have wifi and free parking too . would you like me to book this for you ?",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to stay. the hotel should include free wifi and should be in the centre.  the hotel does not need to include free parking.  make sure you get postcode.
"user:  i am looking for a restaurant in the moderate price range that is also in the south part of town . </s><s> agent:  you have your choice of italian or modern european , do either of those sound good ? </s><s> user:  italian sounds good . may i please have the phone number of a restaurant that you recommend ? </s><s> agent:  pizza hut cherry hinton sounds perfect for you . they 're located at g 4 cambridge leisure park clifton way . is there anything else i can for you ? </s><s> user:  could you also help me find a place to stay ? </s><s> agent:  how 's you budge ? could you like a cheap , expensive or moderate place ? </s><s> user:  price is n't important . i need free parking and wifi . it also should be a 3 star hotel . can you find 1 in the same area as pizza hut ? </s><s> agent:  the only 3-star accommodations in the center is the gonville hotel . it 's expensive , but a great place to stay . would you like to book a room ? </s><s> user:  yes i would like to book a room . </s><s> agent:  how many nights will you be needing ? </s><s> user:  actually the wife just told me she already booked . i just need info on a taxi from the restaurant to the hotel . need to leave by 02:15 </s><s> agent:  booking completed ! booked car type : grey toyota contact number : 07404040949 </s><s> user:  thank you for all your help . </s><s> agent:  your welcome and enjoy your stay in cambridge !",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a restaurant. the restaurant should serve food and should be in the moderate price range.  make sure you get phone number.
"user:  i am looking for a 4-star place to stay , it does n't need to include internet . </s><s> agent:  sure , do you have any other preferences i can add to my search ? </s><s> user:  yes expensive price range and free parking </s><s> agent:  may i suggest university arms hotel ? it has free parking and internet . would you like a reservation ? </s><s> user:  great . that will work . </s><s> agent:  ok , the university arms hotel is on regent street . do you want me to place a booking for you ? </s><s> user:  no . get me the address , area and post code . </s><s> agent:  sorry about that , the university arms hotel is in the centre area and is located on regent street , cb21ad . </s><s> user:  thanks . i am also looking for a place to eat in that same area , same price range as well . </s><s> agent:  my favorite expensive place in the center is the cambridge chop house . they serve british food , and it 's fantastic . </s><s> user:  i was thinking about thai food </s><s> agent:  the only thai restaurant available is bangkok city . would you like to book a table ? </s><s> user:  yes for 7 at 17:45 wednesday and the ref # too please </s><s> agent:  okay . i have booked you there and your reference number is eltjlsvr . </s><s> user:  thank you . that is all i need . </s><s> agent:  you 're very welcome . have a great day !","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to stay. the hotel does not need to include internet and should include free parking.  the hotel should be in the expensive price range.  make sure you get address, area,"
"user:  can you help me find a place to stay that is expensive and include -s free parking ? </s><s> agent:  absolutely , what area were you wanting to stay in ? </s><s> user:  area does n't really matter , but i would like a 3-star place with internet . </s><s> agent:  there are 2 hotel -s that meet your preferences . i suggest the gonville hotel as it 's in the city centre . </s><s> user:  could you give me the address , please ? </s><s> agent:  they are located at gonville place . would you like to book a room there ? </s><s> user:  nah , not right now . i do need info on a train though . what 's the schedule like on sunday trains leaving cambridge ? </s><s> agent:  i 'll be happy to help you with that . where would you like to travel to ? </s><s> user:  how about a train that will arrive by 12:15 heading to london liverpool street ? </s><s> agent:  train tr0995 arrives by 11:27 . would you like me to book you a ticket ? </s><s> user:  yes , that sounds perfect . can you make me a booking for 1 person please ? </s><s> agent:  booking was successful , the total fee is 13.28 gbp payable at the station . reference number is : ref . </s><s> user:  excellent , thank you ! </s><s> agent:  is there anything else i can help you with ? </s><s> user:  thank you for your help . </s><s> agent:  you are welcome . let us know if you need anymore assistance .","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should have and should include free parking.  if there is no such hotel, how about one that is in the centre.  make sure you get address."
"user:  hello , can you give me some information on a train ? </s><s> agent:  i absolutely can . where are you looking to go ? </s><s> user:  i plan to go to cambridge and will be departing from norwich on saturday and plan to ride a train that should arrive cambridge by 16:00 . </s><s> agent:  okay , there are several departure times that fit what you 're looking for . the earliest is 05:16 . would you like me to book that for you ? </s><s> user:  can you give me the travel time , departure time and trainidfor the 1 arriving closest to 16:00 please ? </s><s> agent:  trainidis tr2602 , travel time is 79 minutes and the price is 14.08 pounds . is there anything else you need ? </s><s> user:  yes , i need a 4 star hotel in the expensive price range . </s><s> agent:  we have huntingdon marriott hotel in the west and university arms hotel in the centre , any preference ? </s><s> user:  it needs to have free parking . </s><s> agent:  they both have free parking . i would recommend the university arms hotel in the centre . can i book this for you ?","you are planning your trip in cambridge.  you are looking for a particular train. its name is called.  once you find the train you want to book it for and starting from.  make sure you get travel time, departure time, and trainid."
"user:  hello ! can you recommend a 4-star hotel in the centre of town , please ? </s><s> agent:  i heaar university arms hotel is nice . </s><s> user:  what 's the price ? i need something in cheap range . </s><s> agent:  yes it is very affordable and has 4 stars . would you like me to make reservations for you ? </s><s> user:  no , that will be all . thank you ! </s><s> agent:  have a great time !",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should have and should be in the centre.  make sure you get price range.
"user:  i would like to know if there is an italian restaurant nearby me . </s><s> agent:  we have 1 15 restaurant -s . let me find italian close to you , what area are you in ? </s><s> user:  i guess we do n't need a restaurant after all . my husband is n't hungry . he wants to take a look at a college instead . </s><s> agent:  there are many colleges to choose from , which area of town are you interested in ? </s><s> user:  i would like to find 1 in the west . are there any in that area ? </s><s> agent:  the are 5 colleges in the west . would you like to visit a free 1 or 1 with an entrance fee ? </s><s> user:  i do n't care , just need the postcode , phone number , and address . </s><s> agent:  okay churchill college is free and their address is storey 's way , their postcode is cb30ds and their phone number is 01223336233 . </s><s> user:  i am also looking for a restaurant . the restaurant should be in the moderate price range and should be in the same area as the attraction . </s><s> agent:  what type of food would you like ? </s><s> user:  how about you suggest 1 and book a table for 4 at 15:15 on wednesday , and i 'll need the reference number too please </s><s> agent:  ok , i have booked you a table for 4 at prezzo . reference number is ref , and the table will be reserved for 15 minutes . do you need anything else ? </s><s> user:  i 'll also be needing a taxi to get me from the college to the restaurant . </s><s> agent:  when and where would you like to be picked up ? </s><s> user:  from churchill , and i want to get there by the time you booked my table . </s><s> agent:  i have a red audi and the contact number is 07674679354 . is there anything else i can assist you with today ? </s><s> user:  that s everything i needed thanks for the help ! </s><s> agent:  thank you for using our service today !","you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to dine. the restaurant should be in the west and should serve italian food.  once you find the restaurant you want to book a table for at on.  make sure you get postcode, phone number, and address."
"user:  i would like to find a restaurant called pipasha . </s><s> agent:  pipasha is an expensive indian restaurant . it is located in the east area of town . can i help you with more information or a reservation ? </s><s> user:  yes please . i need a table for 3 on tuesday at 14:00 . </s><s> agent:  okay i have done that and your reference number is ref . </s><s> user:  i would also like to check out a concerthall . </s><s> agent:  great ! the man on the moon is a concerthall in the centre at 2 norfolk street . </s><s> user:  thanks . can you also tell me their postcode ? </s><s> agent:  the postcode is cb12lf . what else would you like assistance with today ? </s><s> user:  do you happen to have their phone number also ? </s><s> agent:  yes , the phone number is 01223474144 </s><s> user:  i also need a taxi between them to get to the restaurant in time . </s><s> agent:  ok , i have booked you a black skoda to get you to the restaurant in time . you can contact them at 07461245991 . can i help with anything else ? </s><s> user:  no thank you , that 's it . </s><s> agent:  you are welcome , enjoy your stay in cambridge",you are planning your trip in cambridge.  you are looking for a particular restaurant. its name is called.  once you find the restaurant you want to book a table for at on.  make sure you get the reference number.
"user:  i am planning a trip in cambridge </s><s> agent:  what would you like to see while there ? </s><s> user:  i would like to go to an entertainment venue in the centre of town . </s><s> agent:  unfortunately , i have many in other area but nothing in the centre . can i look up something else for you ? </s><s> user:  how about a college then . i will need the address and phone number . </s><s> agent:  there are 13 churches in the centre . how about christi 's college ? the address is saint andrew 's street . </s><s> user:  ok that will work . can i get their phone number please ? </s><s> agent:  okay the phone number is 01223334900 . </s><s> user:  thank you . i also need information on a train . </s><s> agent:  i would be happy to help , where are you leaving from ? </s><s> user:  i need to leave london liverpool street on thursday and get to cambridge by 11:30 . </s><s> agent:  there are 4 trains that match your request . what time would you like to leave ? </s><s> user:  i do not care about departure time . i would like you to get me 1 ticket . </s><s> agent:  you have been booked for the tr3839 . it leaves thursday at 05:39 and cost 16 . 60 lbs . can i do anything else for you ? </s><s> user:  that is all , thank you for your help . </s><s> agent:  ok great , have a wonderful day !",you are planning your trip in cambridge.  you are looking for a particular restaurant. its name is called.  once you find the restaurant you want to book a table for at on.  make sure you get address and phone number.
"user:  i am looking for a restaurant called cocum . </s><s> agent:  that 's a very nice indian restaurant on the west side of town . would you like the phone number or a reservation ? </s><s> user:  i would like a reservation , please . i would need it for monday , 14:00 , and for 1 person . i 'll need the reference number . </s><s> agent:  your reservation at cocum at 14:00 for 1 person was successful . your reference number is : ref . </s><s> user:  thank you . i am also looking for a particular hotel . it 's called home from home . </s><s> agent:  home from home is a 4 star guest house in the north area with wifi and parking . would you like to make a reservation ? </s><s> user:  yes , please . just me , same day as the restaurant , and i 'll be staying 3 nights . </s><s> agent:  booking was successful . reference number is : tfwxyhtg . anything else today ? </s><s> user:  that 's all i need for today . thanks ! </s><s> agent:  great . if you ever need anything else do n't hesitate to ask .",you are planning your trip in cambridge.  you are looking for a particular restaurant. its name is called.  once you find the restaurant you want to book a table for at on.  make sure you get the reference number.
"user:  you can help me by finding me an expensive restaurant in the centre </s><s> agent:  i have lots of options for you . do you have a preferred food type ? </s><s> user:  yes , i would like indian food please . </s><s> agent:  i would recommend golden curry . would you like to make a reservation ? </s><s> user:  no thanks , but could i get their postcode ? </s><s> agent:  their postcode is cb21dp . can i help you with anything else today ? </s><s> user:  thank you ! i also would like information about a train , please , leaving cambridge after 21:00 . </s><s> agent:  certainly . where are you headed ? </s><s> user:  i am going to leicester . </s><s> agent:  there is a 21:21 that will arrive by 23:06 . how does that sound ? </s><s> user:  perfect . can you get me 4 seats on that 1 ? </s><s> agent:  your reservation for 4 tickets on the tr3918 train is confirmed . your reference number is : ref . </s><s> user:  thank you for your help ! </s><s> agent:  anything else i can help you with today ? </s><s> user:  nothing else , thank you . have a great day . </s><s> agent:  you 're welcome , have a great day !",you are planning your trip in cambridge.  you are looking for a place to dine. the restaurant should be in the expensive price range and should serve food.  make sure you get postcode.
"user:  i would like to blow my budget at an expensive restaurant in the centre area . </s><s> agent:  sounds like you are celebrating . what type of food do you want to have ? </s><s> user:  i would love to have some persian food . </s><s> agent:  unfortunately , there are n't any expensive persian restaurant -s in the center of town . are you interested in a different type of expensive food ? </s><s> user:  how about one that serves european food ? </s><s> agent:  i could recommend eraina . it is expensive and serves european food in the center . </s><s> user:  sounds perfect . can you book me a table for 2 at 17:45 on wednesday ? </s><s> agent:  i have booked a table for 2 at eraina . your reservation is at 17:45 on wednesday , and your reference number is qeytlglk . can i help you with anything else ? </s><s> user:  is there park in the same area as the restaurant ? if so can you tell me what the entrance fee is ? </s><s> agent:  the cambridge university botanic gardens is in the centre of town . entrance fee is 4 pounds . is there anything else i can assist you with ? </s><s> user:  could i get a taxi please from that park to take me to the restaurant in time for my reservation ? and give me contact number and car type too please </s><s> agent:  yes , a white bmw is booked . the contact number is 07805333203 . will that be all for you ? </s><s> user:  yes , that 's it ! thanks so much , bye ! </s><s> agent:  you 're welcome and enjoy your stay .",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to dine. the restaurant should be in the expensive price range and should serve persian food.  once you find
"user:  i am looking for an attraction in the centre . </s><s> agent:  there are so many to choose from . any idea what kind of attraction you would like to visit ? </s><s> user:  yes , i would like to go to a college with free admission . </s><s> agent:  there are 1 colleges in the centre with free admission . would you like me to suggest 10 ? </s><s> user:  what is that college 's postcode ? i am also hungry and want somewhere to eat . </s><s> agent:  christ 's college have a free entrance </s><s> user:  can you give me the postcode for christ 's college ? </s><s> agent:  sure thing it is cb23bu , anything else today ? </s><s> user:  yes , i would like to find a cheap chinese restaurant . </s><s> agent:  there are 4 options , charlie chan is in the centre near the college that you are visiting , shall i book you ? </s><s> user:  yes please book it for monday at 11:15 </s><s> agent:  how many will be at your table ? </s><s> user:  it will just be a table for 1 . go ahead and book it </s><s> agent:  the reference # is 4 zbqs 5 ge . need anything else ? </s><s> user:  i also need a taxi that will arrive by the booking time . </s><s> agent:  booked car type : white ford contact number : 07018249902 </s><s> user:  great , that 's all i need ... thanks so much ! have a great day ! </s><s> agent:  you are welcome . glad to be of assistance . enjoy your stay in cambridge . bye .",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for a place to dine. the restaurant should be in the centre and should serve food.  make sure
"user:  i am looking for information in cambridge </s><s> agent:  sure , i can help you with all kinds of information . what do you need to know ? </s><s> user:  are there any good parks to visit in the west ? </s><s> agent:  sorry , no parks in the west . </s><s> user:  hmm , what about a college ? </s><s> agent:  yes , there are 5 colleges in the west ! some are free and some have a small fee . would you be interested in 1 of those ? </s><s> user:  sure , just pick 1 , please ? i 'll need the entrance fee and phone number . </s><s> agent:  churchill college would suit your needs . the phone number is 01223336233 and the entrance fee is free . </s><s> user:  i also need a train to cambridge . </s><s> agent:  is there a date and time that you would prefer ? </s><s> user:  yes , on monday and i need to leave after 16:15 . </s><s> agent:  ok wonderful , what will be your departure location ? </s><s> user:  i 'll be leaving from kings lynn . </s><s> agent:  okay the tr0415 leaves at 17:11 and arrives by 17:58 . </s><s> user:  please book me 1 ticket for the tr0415 . </s><s> agent:  your train has been booked and your reference number is uxykegnb . may i help you with anything else ? </s><s> user:  that 's it ! thank you for your help ! </s><s> agent:  sure , any time !",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the restaurant should be in the west and should serve food.  make sure you get address and phone number.
"user:  i am looking for a place to stay in the north part of town . </s><s> agent:  how about arbury lodge guest house ? moderate price range , 4 stars . free parking and wifi . </s><s> user:  that sounds like a great place to stay . thank you for your help ! </s><s> agent:  is there anything else i can help you with ? </s><s> user:  yeah , could you book me a room for 2 people for 4 nights starting tuesday ? </s><s> agent:  your reference number is ref . for the arbury lodge guest house , starting tuesday for 2 nights , and 4 guests . can i assist with anything else ? </s><s> user:  i am also looking to visit a museum , it would need to be in the west . </s><s> agent:  there are 7 museums in the west . some have entrance fees and others do not . do you have a preference ? </s><s> user:  i have no preference , i just need to know how much the entrance fee is . </s><s> agent:  cambridge and county folk museum has an entrance fee of 3.50 pounds . all the other museums are free . is there anything else ? </s><s> user:  that 's all i needed for today ! thanks a bunch ! bye ! ! </s><s> agent:  goodbye , have a great day",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should be in the north and should have.  once you find the hotel you want to book it for and starting from.  make sure you get the reference number.
"user:  hey , i would like to find a hotel in the north , today . </s><s> agent:  i have 13 hotel -s in the north . what type of hotel did you want ? </s><s> user:  i want 1 with moderate price -s that has free wifi . </s><s> agent:  i have 5 hotel -s that match your requests . </s><s> user:  do they include wifi ? </s><s> agent:  yes all of them do . may i recommend something to you ? </s><s> user:  i am open to any hotel that matches my requests . i need it booked for 1 person , 3 nights starting thursday </s><s> agent:  okay . i would like to recommend the acorn guest house . </s><s> user:  ok can you book that for me and get me a confirmation number </s><s> agent:  may i please have your details ( name , id , phone number , email ) so i can go ahead and make the booking for you ? </s><s> user:  you have all the information you need . </s><s> agent:  i made the booking for you . your confirmation number is ref . what else can i do for you ? </s><s> user:  i need a train . </s><s> agent:  i am going to need more information than that . where will you be departing from , and what is your destination ? and do you have a date and time in mind ?",you are traveling to cambridge and looking forward to try local restaurant -s.  you are looking for information in cambridge.  the hotel should be in the north and should include free wifi.  once you find the hotel you want to book it for and starting from.  if the booking fails how about.  make sure you get the reference number.
"user:  i am looking for a train leaving on wednesday arriving by 16:00 . </s><s> agent:  okay . what is your destination ? </s><s> user:  i am going to be leaving from london liverpool street and travelling to cambridge . </s><s> agent:  sure , i can help with that . how close to 16:00 would you like to arrive ? </s><s> user:  it does n't matter . just tell me when it departs so i can be there on time . </s><s> agent:  the best option for you is the train arriving at 15:07 and leaving at 13:39 . would you like me to book that for you ? </s><s> user:  not just yet . could you give me the train id , though ? </s><s> agent:  the train id is tr2826 . is there any other thing i can help you with ? </s><s> user:  i need a moderate -ly priced guest house . </s><s> agent:  how about a and b guest house ? it looks lovely </s><s> user:  sure can you book that for 7 people for 5 nights starting friday ? </s><s> agent:  your booking has been made for 7 people for 5 nights starting friday at the a & b guest house . your reference number is ref . </s><s> user:  great thanks that 's all i need </s><s> agent:  ok great . have a wonderful day .",you are planning your trip in cambridge.  you are looking for a particular train. its name is called.  once you find the train you want to book it for and starting from.  make sure you get the reference number.
